stock_code,stock_name,market,dividend_date,dividend_amount,buy_price,ex_price,price_change_pct,dividend_yield_pct,total_return_pct,is_profitable
000157,中联重科,深市,2025-07-25,3.0,6.82,7.4,8.5,43.99,52.49,True
000157,中联重科,深市,2024-07-26,3.2,6.99,6.35,-9.16,45.78,36.62,True
000157,中联重科,深市,2023-07-21,3.2,5.67,5.93,4.59,56.44,61.02,True
000425,徐工机械,深市,2025-07-09,1.8,7.83,8.24,5.24,22.99,28.22,True
000425,徐工机械,深市,2024-07-03,1.8,6.86,6.38,-7.0,26.24,19.24,True
000425,徐工机械,深市,2023-06-14,1.5,5.82,6.35,9.11,25.77,34.88,True
000568,泸州老窖,深市,2026-01-30,13.58,114.95,120.9,5.18,11.81,16.99,True
000568,泸州老窖,深市,2025-08-08,45.92,109.06,120.81,10.77,42.11,52.88,True
000568,泸州老窖,深市,2025-01-24,13.58,122.11,109.55,-10.29,11.12,0.84,True
000568,泸州老窖,深市,2024-08-23,54.0008,120.72,111.42,-7.7,44.73,37.03,True
000568,泸州老窖,深市,2023-08-28,42.25,216.7,205.7,-5.08,19.5,14.42,True
000596,古井贡酒,深市,2026-02-10,10.0,136.64,128.34,-6.07,7.32,1.24,True
000596,古井贡酒,深市,2025-06-26,50.0,145.7,132.61,-8.98,34.32,25.33,True
000596,古井贡酒,深市,2025-01-24,10.0,166.91,159.48,-4.45,5.99,1.54,True
000596,古井贡酒,深市,2024-06-20,45.0,244.77,214.18,-12.5,18.38,5.89,True
000596,古井贡酒,深市,2023-07-13,30.0,236.41,229.98,-2.72,12.69,9.97,True
000725,京东方A,深市,2025-06-25,0.5,3.78,3.96,4.76,13.23,17.99,True
000725,京东方A,深市,2024-06-19,0.3,4.25,4.06,-4.47,7.06,2.59,True
000725,京东方A,深市,2023-06-07,0.61,3.86,3.86,0.0,15.8,15.8,True
000768,中航西飞,深市,2025-06-23,1.2,24.36,24.9,2.22,4.93,7.14,True
000768,中航西飞,深市,2024-06-21,1.0,24.22,23.91,-1.28,4.13,2.85,True
000768,中航西飞,深市,2023-06-29,1.0,24.46,25.49,4.21,4.09,8.3,True
000876,新希望,深市,2025-07-25,0.2412,9.44,10.02,6.14,2.56,8.7,True
000895,双汇发展,深市,2026-04-29,8.0,27.64,27.62,-0.07,28.94,28.87,True
000895,双汇发展,深市,2025-08-22,6.5,24.1,24.05,-0.21,26.97,26.76,True
000895,双汇发展,深市,2025-04-30,7.5,24.84,23.67,-4.71,30.19,25.48,True
000895,双汇发展,深市,2024-09-11,6.6,21.23,21.32,0.42,31.09,31.51,True
000895,双汇发展,深市,2024-04-26,7.0,22.57,24.18,7.13,31.01,38.15,True
000895,双汇发展,深市,2023-09-11,7.5,21.27,22.55,6.02,35.26,41.28,True
000938,紫光股份,深市,2025-06-13,0.75,25.46,23.22,-8.8,2.95,-5.85,False
000938,紫光股份,深市,2024-06-19,1.4,22.08,23.72,7.43,6.34,13.77,True
002001,新和成,深市,2025-10-20,2.0,24.06,23.34,-2.99,8.31,5.32,True
002001,新和成,深市,2025-05-21,5.0,21.1,22.31,5.73,23.7,29.43,True
002001,新和成,深市,2025-01-22,2.0,21.11,21.8,3.27,9.47,12.74,True
002001,新和成,深市,2024-05-29,4.5,17.72,18.18,2.6,25.4,27.99,True
002001,新和成,深市,2023-06-14,5.0,15.06,14.29,-5.11,33.2,28.09,True
002027,分众传媒,深市,2025-11-25,0.5,7.43,7.4,-0.4,6.73,6.33,True
002027,分众传媒,深市,2025-10-17,1.0,8.18,7.42,-9.29,12.22,2.93,True
002027,分众传媒,深市,2025-08-22,2.3,7.23,7.92,9.54,31.81,41.36,True
002027,分众传媒,深市,2024-09-26,1.0,5.17,5.97,15.47,19.34,34.82,True
002027,分众传媒,深市,2024-06-13,3.3,6.07,5.7,-6.1,54.37,48.27,True
002027,分众传媒,深市,2023-07-03,2.8,5.52,5.76,4.35,50.72,55.07,True
002050,三花智控,深市,2026-01-15,1.2,42.78,54.59,27.61,2.81,30.41,True
002050,三花智控,深市,2025-05-22,2.5,24.62,26.26,6.66,10.15,16.82,True
002050,三花智控,深市,2024-10-23,1.0,17.28,22.59,30.73,5.79,36.52,True
002050,三花智控,深市,2024-06-13,2.5,20.87,24.15,15.72,11.98,27.7,True
002050,三花智控,深市,2023-10-18,0.5,27.47,27.01,-1.67,1.82,0.15,True
002050,三花智控,深市,2023-06-09,2.0,22.26,23.53,5.71,8.98,14.69,True
002230,科大讯飞,深市,2025-07-04,1.0,47.89,46.91,-2.05,2.09,0.04,True
002230,科大讯飞,深市,2024-07-05,1.0,42.16,41.11,-2.49,2.37,-0.12,False
002230,科大讯飞,深市,2023-07-05,1.0,66.48,64.39,-3.14,1.5,-1.64,False
002236,大华股份,深市,2025-12-09,1.85,20.12,19.04,-5.37,9.19,3.83,True
002236,大华股份,深市,2025-04-30,4.58,16.38,15.57,-4.95,27.96,23.02,True
002236,大华股份,深市,2024-09-20,1.84,12.6,13.45,6.75,14.6,21.35,True
002236,大华股份,深市,2024-05-22,3.82,15.69,16.66,6.18,24.35,30.53,True
